time,detector,speed,veh_count
2021-05-11 18:00:00,Chestnut_USD2-1-EB,14.851851851851851,27.0
2021-05-11 18:15:00,Chestnut_USD2-1-EB,13.72,25.0
2021-05-11 18:30:00,Chestnut_USD2-1-EB,17.8,20.0
2021-05-11 18:45:00,Chestnut_USD2-1-EB,19.8,10.0
2021-05-11 19:00:00,Chestnut_USD2-1-EB,15.333333333333334,21.0
2021-05-11 19:15:00,Chestnut_USD2-1-EB,18.526315789473685,19.0
2021-05-11 19:30:00,Chestnut_USD2-1-EB,14.428571428571429,21.0
2021-05-11 19:45:00,Chestnut_USD2-1-EB,20.0,14.0
2021-05-11 20:00:00,Chestnut_USD2-1-EB,17.545454545454547,22.0
2021-05-11 20:15:00,Chestnut_USD2-1-EB,17.333333333333332,9.0
2021-05-11 20:30:00,Chestnut_USD2-1-EB,20.176470588235293,17.0
2021-05-11 20:45:00,Chestnut_USD2-1-EB,22.076923076923077,13.0
2021-05-11 21:00:00,Chestnut_USD2-1-EB,15.9375,16.0
2021-05-11 21:15:00,Chestnut_USD2-1-EB,16.666666666666668,9.0
2021-05-11 21:30:00,Chestnut_USD2-1-EB,23.125,8.0
2021-05-11 21:45:00,Chestnut_USD2-1-EB,18.22222222222222,9.0
2021-05-11 22:00:00,Chestnut_USD2-1-EB,20.88888888888889,9.0
2021-05-11 22:15:00,Chestnut_USD2-1-EB,16.25,4.0
2021-05-11 22:30:00,Chestnut_USD2-1-EB,22.375,8.0
2021-05-11 22:45:00,Chestnut_USD2-1-EB,22.333333333333332,6.0
2021-05-11 23:00:00,Chestnut_USD2-1-EB,19.5,2.0
2021-05-11 23:15:00,Chestnut_USD2-1-EB,25.333333333333332,3.0
2021-05-11 23:30:00,Chestnut_USD2-1-EB,21.666666666666668,6.0
2021-05-11 23:45:00,Chestnut_USD2-1-EB,27.0,1.0
2021-05-11 00:00:00,Chestnut_USD2-2-EB,26.0,2.0
2021-05-11 00:15:00,Chestnut_USD2-2-EB,19.4,10.0
2021-05-11 00:30:00,Chestnut_USD2-2-EB,15.333333333333334,3.0
2021-05-11 00:45:00,Chestnut_USD2-2-EB,30.0,2.0
2021-05-11 01:00:00,Chestnut_USD2-2-EB,18.4,5.0
2021-05-11 01:15:00,Chestnut_USD2-2-EB,27.0,3.0
2021-05-11 01:30:00,Chestnut_USD2-2-EB,23.0,2.0
2021-05-11 01:45:00,Chestnut_USD2-2-EB,21.0,2.0
2021-05-11 02:15:00,Chestnut_USD2-2-EB,22.5,2.0
2021-05-11 02:30:00,Chestnut_USD2-2-EB,26.0,1.0
2021-05-11 02:45:00,Chestnut_USD2-2-EB,9.272727272727273,11.0
2021-05-11 03:00:00,Chestnut_USD2-2-EB,19.75,4.0
2021-05-11 03:15:00,Chestnut_USD2-2-EB,33.0,1.0
2021-05-11 03:30:00,Chestnut_USD2-2-EB,26.0,2.0
2021-05-11 03:45:00,Chestnut_USD2-2-EB,25.0,1.0
2021-05-11 04:00:00,Chestnut_USD2-2-EB,31.0,1.0
2021-05-11 04:15:00,Chestnut_USD2-2-EB,19.5,2.0
2021-05-11 04:45:00,Chestnut_USD2-2-EB,25.75,4.0
2021-05-11 05:00:00,Chestnut_USD2-2-EB,26.5,6.0
2021-05-11 05:15:00,Chestnut_USD2-2-EB,23.0,14.0
2021-05-11 05:30:00,Chestnut_USD2-2-EB,21.333333333333332,15.0
2021-05-11 05:45:00,Chestnut_USD2-2-EB,18.25,8.0
2021-05-11 06:00:00,Chestnut_USD2-2-EB,20.333333333333332,18.0
2021-05-11 06:15:00,Chestnut_USD2-2-EB,18.296296296296298,27.0
2021-05-11 06:30:00,Chestnut_USD2-2-EB,20.75,32.0
2021-05-11 06:45:00,Chestnut_USD2-2-EB,22.209302325581394,43.0
